categoria,nombre,direccion,url,precio,precio_2,rating
bolos,3 partidas de bolos con zapatos y bebida para 1 persona...,"Centro comercial Xanadú - Calle Puerto de Navacerrada, Km 23, 5, Arroyomolinos",https://www.groupon.es/deals/centros-de-ocio-ilusiona-5,8.99,,4.5
bolos,2 partidas de bolos por persona para dos con perrito ca...,"Estación de Chamartín, s/n, Madrid",https://www.groupon.es/deals/bowling-chamartin-2,19.5,,4.3
bolos,3 partidas de bolos con zapatos y bebida para 1 persona...,"CC TRES AGUAS, Alcorcón",https://www.groupon.es/deals/bowling-tres-aguas,8.9,,4.4
paintball,"Partida de paintball para 1,5 o 10 personas desde 9,95...","Camino de Madrid, s/n,, Valdetorres de Jarama",https://www.groupon.es/deals/paintball-jarama-2,8.16,,5
paintball,Partida de Paintball para hasta 10 personas con 150 bol...,"Camino de la Zarzuela 85, Villaviciosa de Odon",https://www.groupon.es/deals/sportocio,9.9,,4.4
paintball,"Circuito de humor amarillo para 1, 5 o 10 niños o adult...","Camino de la Zarzuela 85, Villaviciosa de Odon",https://www.groupon.es/deals/sportocio-2,12.95,,4.4
equitacion,Paseo a caballo para 2 o 4 con opción a tosta y bebida...,"Carr. Virgen del Espino, s/n, Los Molinos",https://www.groupon.es/deals/prados-monteros-3,29.99,,4.5
equitacion,Paseo a caballo de 1 hora para 2 o 4 personas con refre...,"Carretera M-607, salida 29, parcela 10, polígono 42, Colmenar Viejo",https://www.groupon.es/deals/finca-paraiso-1,29.99,,3.8
equitacion,Paseo a caballo para 2 o 4 personas con opción a degust...,"Carretera de Loeches, Km 1, Campo Real",https://www.groupon.es/deals/hipica-los-jarales-1,34.99,,
equitacion,Paseo a caballo para 2 o 4 con opción a tosta y bebida...,"Carr. Virgen del Espino, s/n, Los Molinos",https://www.groupon.es/deals/prados-monteros-3,29.99,,4.5
equitacion,Paseo a caballo de 1 hora para 2 o 4 personas con refre...,"Carretera M-607, salida 29, parcela 10, polígono 42, Colmenar Viejo",https://www.groupon.es/deals/finca-paraiso-1,29.99,,3.8
equitacion,Paseo a caballo para 2 o 4 personas con opción a degust...,"Carretera de Loeches, Km 1, Campo Real",https://www.groupon.es/deals/hipica-los-jarales-1,34.99,,
v-escalada,"Bautismo de escalada para una o dos personas desde 19,9...","C/ del Hachero, 12, Madrid",https://www.groupon.es/deals/boulder-madrid-1,19.95,,5
v-escalada,Bautismo de escalada para hasta 4 personas con equipaci...,"Avenida del Vidrio, 18, Azuqueca de Henares",https://www.groupon.es/deals/rock-and-climb-sl,19.99,,
v-esqui-y-snowboard,Forfait para adulto de dos horas o día completo con equ...,"Carretera N-V Salida 22 (C.C. XanadÃº)., Arroyomolinos",https://www.groupon.es/deals/snozone-madrid-4,16.99,,4.3
v-esqui-y-snowboard,Alquiler de equipo de esquí o snow para 1 o 2 personas...,"Carretera Madrid La Granja, Puerto de Navacerrada s/n, Cercedilla",https://www.groupon.es/deals/alquiler-de-esqui-verdesoto,16.99,,4.8
