url,coordenadas,imagen
https://www.tripadvisor.es/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.424664,-3.696396&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.424664,-3.696396&signature=OmVE3I4SX6YvhpOLydWDunVzQBc=",https://media-cdn.tripadvisor.com/media/photo-s/04/a3/56/13/pulcinella.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d19600810-Reviews-Sibuya_Urban_Sushi_Bar_Madrid_C_Orense-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.447987,-3.695810&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.447987,-3.695810&signature=GEyFFD8FLmCsi0A1NoOnwTsFUDA=",https://media-cdn.tripadvisor.com/media/photo-p/1a/36/f7/b5/uramaki-terremoto.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d7622713-Reviews-GastroVia_61-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.421932,-3.709913&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.421932,-3.709913&signature=s3HDTJf-sxHj8M1MM1f1Ycd26uw=",https://media-cdn.tripadvisor.com/media/photo-s/1c/3d/e3/40/gastrovia-61.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d23994209-Reviews-La_Mariterranea_Madrid-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.423325,-3.678546&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.423325,-3.678546&signature=ECiGczofgfwPw9eOMEFiBBjfHlA=","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-Steakburger_Gran_Via_16-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.419762,-3.699474&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.419762,-3.699474&signature=lMvk-3Lb7jjpTtba_opFkWSEZCU=",https://media-cdn.tripadvisor.com/media/photo-p/23/5a/80/09/original.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d8855793-Reviews-Ornella-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.423271,-3.684258&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.423271,-3.684258&signature=s75yDcCZaocJLNO0cX3PZBfi77U=",https://media-cdn.tripadvisor.com/media/photo-s/28/6a/ec/5f/ornella-prive.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.421680,-3.708646&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.421680,-3.708646&signature=5qMus1nWXmCT3DdLH8Wi6afAfEs=",https://media-cdn.tripadvisor.com/media/photo-p/23/5a/80/52/original.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d14962689-Reviews-Sibuya_Urban_Sushi_Bar_Chueca-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.423710,-3.695161&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.423710,-3.695161&signature=5lJSD4DUyYxrmDxNEUNuWM4ZxuU=",https://media-cdn.tripadvisor.com/media/photo-s/22/4b/70/17/sibuya-flamed.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d23820424-Reviews-La_Vaca_Argentina-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.415897,-3.698896&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.415897,-3.698896&signature=IyZDIKhlqQ-7nLILDL3V6dgiN98=",https://media-cdn.tripadvisor.com/media/photo-s/26/f1/01/fc/parrilla-argentina-para.jpg
https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_el_Sur-Madrid.html,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.restaurant_review&zoom=15&size=347x137&scale=1&client=gme-tripadvisorinc&format=jpg&sensor=false&language=es_ES&center=40.411160,-3.699544&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Fcomponent_map_pins_v1%2FR_Pin_Small.png|40.411160,-3.699544&signature=koE7Twdi9jJIN45Eyru5JA7sPk4=",https://media-cdn.tripadvisor.com/media/photo-s/10/52/fb/3a/photo2jpg.jpg
