nombre,subcategoria,descripcion,url,id,categoria
FOTOGRAFY,cursos fotorgrafia,elige opciones curso intensivo iniciación fotografía prácticas exterior horas vez curso intensivo fotografía horas prácticas exterior vez curso intensivo iniciación fotografía prácticas exterior horas curso pensado dar primeros pasos fotografía duración horas enfocado enseñar alumno conocer usar cámara forma creativa empieza enseñanza tres principios básicos controlar fotografías obturador diafragma elección iso ahí va cámara mano sacar primeras fotografías alumno maneja encuadres controla luz efectos siempre supervisión profesor aprende manejar soltura modos semi atomáticos entender utilidad obtener fotos quiere curso pueden sacar fotos bien expuestas enfocadas efectos estelas movimiento desenfoque fondo sólo necesita cámara fotos ser posible reflex suficiente aprender fotografía hacer buenas fotos contenido requisitos curso curso intensivo fotografía horas prácticas exterior curso consta dos sesiones días diferentes primera sesión horas dará explicación teórico práctica fundamentos fotografía digital terminando salida fotográfica alumno ejercitará aprendido apoyo profesor segunda parte horas alumno seguirá práctica vez propondrá ejercicio fotográfico objetivo concreto valorará clase junto resto compañeros contenidos curso primera sesión aula introducción aspectos básicos cámara ajustes botones menús luz forma cómo miramos realidad cómo mira cámara luz mide entender fotómetro cámara exposición cómo mide luz fotografía balance blancos compensación enfocando autofoco foco manual apertura forma controlar luz paisajes nítidos gancho obturador forma controlar luz capturar instante huir fotos borrosas barridos congelación sujeto modos semiautomáticos prioridad apertura velocidad sensibilidad iso ajustar cámara escena paso control luz formatos raw jpg dng ajustes cámara práctica fotográfica práctica i poner práctica aprendido salimos tirar fotos guiados profesor ejercitaremos técnicas enfoque medición luz obturación apertura diafragma iso segunda sesión aula componer tres consejos fotos vayan mejorando notablemente mirada forma única ver realidad guardar organizar fotos retoque básico imprescindible fundamentos lightroom práctica fotográfica práctica ii propone plan trabajo objetivo fotográfico concreto valoración grupo ejercicio realizado cada alumno requisitos cámara fotos reflex compacta función manual smartphone podemos introducirnos fotografía conocer principios aunque solo gama alta permiten manejo modo manual,https://www.groupon.es/deals/fotografy-1?deal_option=69b353aa-ef84-423a-af47-a85470b79952,3764,Entretenimiento
Fotografy,cursos fotorgrafia,fotografy,https://www.groupon.es/deals/fotografy-8?deal_option=d199eda5-8b1f-4ede-9df0-92713dd0fbf5,3767,Entretenimiento
Neural Fotografía,cursos fotorgrafia,incluye curso intensivo iniciación fotografía prácticas exterior curso pensado dar primeros pasos fotografía duración horas enfocado enseñar alumno conocer usar cámara forma creativa empieza enseñanza tres principios básicos controlar fotografías obturador diafragma elección iso ahí va cámara mano sacar primeras fotografías alumno maneja encuadre controla luz efectos siempre supervisión profesor aprende manejar soltura modos semi automáticos entender utilidad obtener fotos quiere opción curso edición horas curso enseña alumno realizar primeros ajustes foto camera raw corrigiendo exposición equilibrio blancos contraste dotar foto balance tonal adecuado después continúa photoshop aprende técnicas básicas retoque composición digital limpieza imperfecciones piel eliminación sustitución fondos mejora cielos etc realización curso alumnos deberán contar ordenador programa edición mencionado si cambia primera reserva solicitará fianza siguientes reservas,https://www.groupon.es/deals/foto-erotica-madrid-3?deal_option=346b8808-bbd4-454c-9e2c-f047cf3f3be2,3763,Entretenimiento
"Un mes de clases a elegir para una persona desde 12,95...",clases baile,mes clases elegir persona,https://www.groupon.es/deals/evil-eva-burlesque-school-3,3761,Entretenimiento
Bono de 8 clases de flamenco nivel iniciación 0 para 1...,clases baile,incluye clases flamenco nivel iniciación clases enseña mover pies brazos manos realizar giros arte flamenco perder equilibrio realizar marcajes toda técnica corporal necesita dominar bailar flamenco información adicional duración clases minutos horarios clases horas vez canjeado cupón clases dan mes,https://www.groupon.es/deals/centro-el-lucero-7,3748,Entretenimiento
Hasta 70% de descuento en Clase de baile - Salsa en Hak...,clases baile,clase salsa clases salsa divertidas conocer gente aprender pasarlo genial clases salsa todas edades entorno precioso exterior baila desconecta disfruta,https://www.groupon.es/deals/hakuna-bachata-3,3775,Entretenimiento
1 mes de clases de baile de estilo a elegir en Escuela...,clases baile,mes clases baile estilo elegir escuela,https://www.groupon.es/deals/escuela-de-baile-ovat-1,3760,Entretenimiento
Cata de vinos a elegir con queso y guarniciones o jamón...,v cata de vinos,incluye cata vino elegir personas duración hora grupos personas máximo mesas personas máximo cata quesos vinos guarniciones comenzará breve explicación cuatro quesos van maridar cuatro vinos guarniciones todas catas menos ganado premio mejor queso mundo cuanto vinos verdejo roble ribera duero cuerpo fruta elaborado quintanilla onésimo marqués murrieta reserva rioja vino natural dulce variedad uva shiraz sigue pequeña introducción maridaje continuación pasa catar cada queso vino recomienda maridar explicar razones creemos hacen cada queso irá además acompañado guarnición completar experiencia maridaje cata vinos aromas jamón ibérico bellota puede trabajar nez du vin juego aromas ayudando apreciar mejor aromas vinos ejemplo maridaje vinos blancos tintos jamón ibérico bellota vinos españoles seleccionados función aportan cata aromas maridaje etc habla elaboración vino cata maridaje jamón lleva cata pareja media ración jamón ibérico bellota marca beher ganado premio mejor jamón mundo prohíbe consumo bebidas alcohólicas menores años,https://www.groupon.es/deals/ar-sumiller-asesor-ii-1,3734,Gastronomía
"Visita con degustación de vinos, ibéricos, aove y queso...",v cata de vinos,descubre exquisita amplia selección vinos bodega detalle experiencia visita realiza grupos reducidos personas hora media aproximadamente personas llevará cabo explicación así degustación dos vinos rioja ribera duero degustación aceites oliva extra virgen rueda deliciosos ibéricos tierra jamón chorizo salchichón ibérico queso manchego pan tumaca puedes descubrir selección vinos aquí prohíbe consumo bebidas alcohólicas menores años,https://www.groupon.es/deals/bodega-los-porches,3739,Gastronomía
Visita guiada tradicional o premium a la Bodega del Ner...,v cata de vinos,visita tradicional prémium bodega cata vino degustación quesos guiada acompañada algún miembro familia explica proceso elaboración vinos historia anécdotas curiosidades duración aproximada horas comienza patio pequeña introducción accede sala entrada observan instrumentos herramientas objetos utilizado utilizan bodega explica historia familiar generaciones bodegueros accede ala sala tinajas contemplan tinajas barro años antigüedad explica proceso elaboración accede sala barricas revela proceso elaboración vinos crianza diferentes características formatos técnicas curiosidades visita sala depósitos gran capacidad vieja habitación aceite recorrido termina cueva vinagre lugar elabora vinagre tina antiguo vinagre familia último da comienzo cata vinos degustación queso neri tinto neri blanco queso chinchón rosa amarilla prohíbe consumo bebidas alcohólicas menores años,https://www.groupon.es/deals/bodega-del-nero-1,3738,Gastronomía
"Visita guiada y cata de vinos para 2, 4 o 6 personas en...",v cata de vinos,visita guiada recinto cata bodega años visita recinto bodegas jesús díaz hijos descubriendo toda historia procesos producción vinos artesanales cata realiza salón patio castellano aire libre así bodega tinajas cueva grupos reducidos exclusivos disfrutar unas vistas valle lleva aranjuez cata vinos blanco jesús díaz hijos rosado jesús díaz hijos tinto jesús díaz hijos picoteo patatas fritas picos panes cómo llegar puede llegar autobús sale conde casal madrid va destino colmenar oreja bajar parada estación autobuses parada destino prohíbe consumo bebidas alcohólicas menores años,https://www.groupon.es/deals/bodegasjesusdiazehijos-1,3742,Gastronomía
"Visita de bodega y degustación de vinos para 2, 4 o 6 p...",v cata de vinos,visita bodega degustación vinos p,https://www.groupon.es/deals/bodega-pedro-garcia-1,3740,Gastronomía
"Visita a bodega para 2, 4 o 6 con cata en Bodega Restau...",v cata de vinos,incluye visita bodega cuevas s xvii personas cata tres vinos picoteo duración visita minutos cata vinos consta vino persona siguientes variedades vino blanco vino tinto vino rosado picoteo,https://www.groupon.es/deals/bodega-restaurante-narciso-figueroa,3741,Gastronomía
"Entrada para la obra ""La Cena de los Idiotas"" en marzo...",v espectaculos,entrada obra cena idiotas marzo,https://www.groupon.es/deals/gl-teatro-amaya-143,3770,Entretenimiento
"Entrada al espectáculo de comedia ""Tuppersex"" del 17 de...",v espectaculos,entrada espectáculo comedia tuppersex,https://www.groupon.es/deals/gl-tuppersex-6,3773,Entretenimiento
"❦Entrada para ""Emociones"" del 1 al 30 de abril en el Te...",v espectaculos,entrada emociones abril,https://www.groupon.es/deals/gl-teatro-flamenco-de-madrid-62,3772,Entretenimiento
Entrada para el monólogo Beer & Sex Night - Licenciada...,v espectaculos,entrada monólogo beer sex night licenciada cecilia ce público adulto duración hora minutos teatro teatro alcalá sala dirección teatro c jorge juan funciones viernes mayo sábado mayo sinopsis show ciencia sexo humor derribar mitos vivir sexualidad plena consensuada segura ficha técnica licenciada cecilia ce,https://www.groupon.es/deals/gl-beer-sex-night,3769,Entretenimiento
"Entrada para ""Emociones"" en el Teatro Flamenco Madrid",v espectaculos,incluye entrada persona espectáculo emociones teatro flamenco madrid tipo asiento entradas numerar público recomendado públicos duración minutos excepciones entrada gratuita menores años fechas disponibles h h sinopsis teatro flamenco madrid disfrutarás experiencia única descubrir auténtica esencia flamenco primer teatro dedicado exclusiva género reconocido patrimonio inmaterial humanidad unesco propósito acercar flamenco públicos además conciertos reconocidos artistas cuenta programación diaria emociones espectáculo cante baile guitarra elenco artistas primer nivel recorren principales estilos flamenco marco único sala teatro luz velas ambiente tan íntimo acogedor recuerda míticos cafés cantantes despierta magia conecta espectador artista,https://www.groupon.es/deals/gl-teatro-flamenco-de-madrid-61,3771,Entretenimiento
