url,descripcion,imagen
https://www.groupon.es/deals/parapark-madrid-2,"Las opciones incluyen:
Juego de escape room urbano de 2,5 horas aproximadamente para grupos de dos a seis personas,
De martes a jueves o de viernes a domingo.
Sobre el juego:
El juego de aventura ParaPoly no trata solo de ver los monumentos de la ciudad, sino de escuchar lo que te dicen. Se deben buscar las pistas, investiga las señales y resuelve los acertijo. Para ello es necesario un par de amigos, un móvil inteligente, un bolígrafo y el mapa del juego.
La partida no dura más de un par de horas, por lo que es posible hacer un descanso para comer o cenar, o incluso parar por la noche y continuar al día siguiente.
Más informacion sobre el juego: http://madrid.parapark.es/parapoly",https://img.grouponcdn.com/deal/2g4EpyyacTyhbhNPvi9avRTJs6xM/2g-1600x960/v1/c870x524.webp
https://www.groupon.es/deals/escapology-ilusiona-xanadu,"Qué incluye:
Escape game en una de las 6 salas
Para 4 a 6 participantes
Duración de la partida: 60 minutos
5 salas disponibles: Antídoto, Budapest Express, Los 7 pecados capitales, Narco y Ciudad perdida
Detalles de los juegos:
Antídoto (Dificultad: 6,5/10)
“¿Tienes lo que se necesita para derrotar al Dr. Brandt y salvarte a ti mismo como también al mundo?”
Edad mínima recomendada: 10 años (los menores de 18 años deben ir siempre acompañados de un adulto dentro de la sala)
Budapest Express (Dificultad: 8,5/10)
“¡Solucionad los acertijos y los rompecabezas, recopilad las pruebas y resolved el crimen antes de que sea demasiado tarde! ¿Tenéis lo que hay que tener para encontrar al asesino antes de que os encuentre a vosotros? ¡El tiempo apremia!”
Edad mínima recomendada: 10 años (los menores de 18 años deben ir siempre acompañados de un adulto dentro de la sala)
Los 7 Pecados Capitales (Dificultad: 8,5/10)
“¿Podréis completar la misión y escaparos de la Iglesia antes de que el reloj dé la medianoche? ¿O la maldición seguirá persiguiéndote y tu nombre acabará grabado en una lápida del panteón familiar?”
Edad mínima recomendada: 12 años (los menores de 18 años deben ir siempre acompañados de un adulto dentro de la sala)
Narco (Dificultad: 9/10)
“Secuestrados por el señor de la droga. Hay dos formas de salir, ¿cuál elegirás?”
Edad mínima recomendada: 15 años (los menores de 18 años deben ir siempre acompañados de un adulto dentro de la sala)
Ciudad Perdida (Dificultad: 7,5/10)
“¿Podréis recuperar el diario, encontrar el tesoro y escapar del templo antes de que sea demasiado tarde? El tiempo apremia.”
Edad mínima recomendada: 10 años (los menores de 18 años deben ir siempre acompañados de un adulto dentro de la sala)
Proceso de canje:
Seleccionar su sala de escape aquí a elegir entre Antídoto, Budapest Express, Los 7 pecados capitales, Narco y Ciudad perdida
Pinchar en ‘‘Reserva Ahora’’
Seleccionar el número de personas, día y hora
Rellenar sus datos e introducir su código de cupón en el apartado ‘‘¿Tienes un cupón descuento?’’
Pinchar en ‘‘Realizar pago de la reserva’’
Cuando aparezca 0 € como precio final, su reserva estará confirmada",https://img.grouponcdn.com/deal/3UGyAuyvaNjPrFEcQ78GGNS4fH7T/3U-1500x900/v1/c870x524.webp
https://www.groupon.es/deals/ncerrados-escape-room-1,"Sala privada solo en caso de un grupo de 6 personas
Habitación disponible: La Maldición de los Balaguer
  Descripción:
“Atrévete a entrar y si logras salir… cuéntanos qué les ocurrió
Hace muchos años un terrible virus asoló los campos de nuestra comarca, dejando muchos muertos a su paso de manera muy extraña, pero los Balaguer, familia de clase media que habitaba una pequeña casa de la comarca, perturbados y ciegos de miedo, se aislaron de todo lo que pudiera hacer daño a su pequeña hija Aurora. Su obsesión por no permitir el paso a nada ni nadie que pudiera traer la maldición a casa se volvió extrema, algunos llegaron a afirmar que era la peste sin embargo pueblerinos decían que los Balaguer en su casa tenían un portal al mundo de los muertos, dado que mucha gente simplemente desaparecía. Hoy por hoy nadie se atreve a entrar, hay quien dice que están dentro y se alimentan de almas perdidas”
Horarios de pases:
Lunes a jueves: 10:30-12:00-13:30-15:00-16:30-18:00-19:30
Viernes a domingo: 10:30-12:00-13:30-15:00-16:30
El escape room tiene una duración de 60 minutos
No hay restricciones de edad",https://img.grouponcdn.com/deal/4Do3RjDRTLCDGL1ErjSLnSA1BKrj/4D-1024x614/v1/c870x524.webp
https://www.groupon.es/deals/enigmas-room-3,,https://img.grouponcdn.com/deal/2n46jqPikXEXArQx4KQ4HuYCgXVR/2n-700x420/v1/c870x524.webp
https://www.groupon.es/deals/bucaneros-park,"Escape rooms a elegir:
Jungla Ashe de los orishas:
Duración: 30 minutos
Dificultad: 3/5
Sinopsis: Como descendiente de africanos, Diego Grillo practicaba en secreto la religión Yoruba de su madre esclavizada. Los ancestros del mulato habanero protegen una de las mitades del mapa del tesoro. Tendréis que adentraros en su religión y conseguir que los orishas confíen en vosotros. Sed respetuosos, ya que su sabiduría os hará ganar tiempo. Si descubren que es un engaño, recaerá sobre vosotros su embrujo y os expulsaran de la bahía de Matanza para siempre. Y el tesoro permanecerá oculto por el resto de la eternidad.
La mansión del gobernador:
Duración: 45 minutos
Dificultad: 3/5
Sinopsis:
Ayuda a la tripulación de Diego Grillo a recuperar la única parte del mapa del tesoro que le fue robada por los españoles. Para ello, como buen bucanero, deberás adentrarte en los aposentos privados del gobernador de Cuba y encontrar su caja fuerte. El señor de la casa está en una fiesta y hemos conseguido neutralizar a su guardia durante un buen rato con una mezcla de belladona, pero cuidado porque no tenemos mucho tiempo, en cualquier momento se puede despertar. ¡Silencio! Esta misión requiere ser cuidadoso, no podemos llamar la atención de casas cercanas ni despertar al guardia, pues dará la voz de alarma y jamás podremos recuperar la otra mitad del mapa.
El barco fantasma:
Duración: 60 minutos
Dificultad: 3/5
Sinopsis:
Hay constancia de que al menos dos gobernadores de la isla de Cuba persiguieron al temido pirata Diego Grillo durante décadas por el robo del tesoro de Mérida. Entre los piratas, se asegura que fue capturado y ahorcado por los españoles. Otras leyendas cuentan que sufrió un naufragio cerca de Cienfuegos, y sus habitantes juran que escuchan los lamentos del Mulato Lucifer por ese fatídico día. Parece ser que su barco yace en el fondo de una de las grutas de la isla. La tripulación de Lucifer, en su honor, ha conseguido las dos mitades del mapa que les guiará hacia el tesoro escondido años atrás por su admirado capitán, tras la última expedición en que se supo de él. A pesar de las numerosas búsquedas, ningún corsario, bucanero o aventurero ha sido capaz de encontrar el barco. ¿Seréis vosotros más audaces que ellos y recuperar el tesoro que tanto protegía Diego Grillo?
Válido solo para mayores de 18 años.",https://img.grouponcdn.com/deal/4GYVBoYoLeRv6UwZdpcXmFAAGMmP/4G-775x465/v1/c870x524.webp
https://www.groupon.es/deals/enigma-madrid-1,"Qué incluye:
Experiencia de escape room
Juego en grupos privados
Participantes: para 2 a 6 personas
Duración del juego: 1 hora
Restricciones de edad: 18 años o menores acompañados de un adulto
Sinopsis:
En la experiencia de escape room ‘‘El Virus’’, donde se pone en el papel de agentes especiales que deben infiltrarse en una base científica enemiga en la que se ha creado un virus letal. El enemigo pretende utilizarlo contra la población civil y la misión es impedirlo.
¿Qué es un escape room?
Una habitación tematizada donde se encuentran diferentes objetos, distribuidos con un sentido. Dichos objetos forman parte de una serie de acertijos y juegos de lógica que se tiene que resolver para lograr el objetivo: resolver la misión en menos de 60 minutos. Entrar es sencillo, salir a tiempo… ¡Un desafío!",https://img.grouponcdn.com/deal/2JoonrahLBHNNWFnL8BXWxcj9o4w/2J-1984x1191/v1/c870x524.webp
https://www.groupon.es/deals/bexcaper-alcala-1,"Descripción de los juegos:
Salas disponibles: La celda de Lupin y El psiquiátrico
Restricción de edad: mínimo 8 años, en el caso de ser acompañado por adultos, para poder jugar de forma independiente sin el control de un adulto, la edad mínima es de 13 años
Duración media del juego: 1 hora
Límite de participantes: 6 o 7, según la opción elegida
En la opción de 2 juegos: puede ser un mismo grupo de hasta 6 o 7 jugadores y jugar las dos salas seguidas, o dos grupos de hasta 3 o 4 personas y jugar las dos salas simultáneamente
La celda de Lupin:
""Adentráte en la celda del famoso ladrón francés Lupin, localiza el valioso cuadro robado y sal de la cárcel antes de ser descubierto""
Dificultad: 4 de 5
Tema: crimen / cárcel
Sinopsis: Hace casi un año, el famosísimo caballero ladrón realizó uno de sus mejores trucos, llevando a cabo el robo más grande de la historia de Francia. En ese robo se sustrajeron obras de arte por valor de más de 100 millones de euros. Tras haber sido capturado bajo una de sus múltiples personalidades, Lupin actualmente se encuentra en la cárcel de máxima seguridad de París, a la espera de juicio. Durante este tiempo la mayoría de las obras han sido recuperadas, pero falta el cuadro más valioso de todos, ""Las Flores"". Según se rumorea, Lupin consiguió llevárselo consigo a la cárcel para que nadie lo encontrara
El psiquiátrico:
""Entra en las dependencias del Dr. Vilches, investiga sus extraños tratamientos y descubre qué le ha sucedido a la famosa reportera""
Dificultad: 3 de 5
Tema: misterio / tétrico
Sinopsis: Mientras realizaba uno de sus programas basado en los psiquiátricos que siguen abiertos a día de hoy en España, la reportera jefe del programa más famoso de investigación ha desaparecido y se le está buscando por todo el país. Según comenta el director de la cadena, el último día que la vieron por la redacción comentaba que debía visitar el famoso psiquiátrico de Cervantes. Este psiquiátrico es conocido por sus curaciones ""milagrosas"" gracias a los extraños tratamientos del doctor Vilches. La policía, tras visitar las dependencias, ha descartado de primeras que exista relación entre la desaparición de la reportera y el psiquiátrico. Sin nuevas pistas ni evidencias, la investigación ha llegado a un callejón sin salida, pero la cadena de televisión sigue pensando que algo raro hay en todo este asunto",https://img.grouponcdn.com/bynder/2TjEK1caGpycVtQn5xyiiRtNtbMZ/2T-2048x1229/v1/c870x524.webp
https://www.groupon.es/deals/fotoretiro?deal_option=fe138047-d33c-3a66-11a0-5dea193ef475,,https://img.grouponcdn.com/deal/SWSJoBe851dEAht83Wm/wj-960x576/v1/c870x524.webp
https://www.groupon.es/deals/fotografy-6?deal_option=890839de-09b9-4ab8-a721-204dd230439e,"Duración del curso: 4 horas.
Temario del curso:
La fotografía y el control de la luz
La apertura
Obturación
La sensibilidad ISO
Apps nativas de Iphone y Android
Control de la luz en las Apps nativas
Apps de terceros para Iphone y Android
Uso del flash
Composición básica
Retoque fotográfico
Apps de retoque para Iphone y Android
Instagram",https://img.grouponcdn.com/deal/2zNUZSp3Xao4ivcwXDzU8f/185026547-2048x1229/v1/c870x524.webp
https://www.groupon.es/deals/fotografy-5?deal_option=ef9c751c-e1c1-4258-aab1-3375d663e0c7,"Elige entre tres opciones:
Book fotográfico con CD de 70 fotos, 7 retoques y 2 asesoramientos de estilismo para 1 persona por 39 € en vez de 400 €
Book fotográfico con CD de 70 fotos, 7 retoques, 2 asesoramientos de estilismo y 5 fotos impresas para 1 persona por 49 € en vez de 420 €
Book fotográfico para grupos con CD con de fotos, 7 retoques, 2 asesoramientos de estilismo y 5 fotos impresas por 79 € en vez de 580 €
Detalles del servicio:
Todas las opciones incluyen:
Sesión fotográfica de 70 fotografías en alta calidad entregadas en formato digital, CD o si se desea en un pendrive (aportado por el cliente), 7 fotos retocadas profesionalmente y entregadas también en formato digital.
2 asesoramientos de estilismo (peluquería, maquillaje y vestuario).
En las opciones 2 y 3, también incluyen 5 fotografías impresas de 13x18 cm (elegidas de todas la de la sesión).",https://img.grouponcdn.com/deal/rCzh1N8WH7QZSxsDuvYB3m/503671357-1500x900/v1/c870x524.webp
